;Company;Symbol
267;VESTJYSK BANK DKK10;0GGK.L
268;WASHTEC AG NPV;0GJK.L
269;WUSTENROT & WURTTEMBERGISCHE AG NPV;0GJN.L
270;XILAM ANIMATION EUR0.10;0GJS.L
271;YIT OYJ NPV;0GKA.L
272;LEROY SEAFOOD GROUP NOK1;0GM2.L
273;ESI GROUP EUR3;0GM9.L
274;VITROLIFE AB NPV;0GN0.L
275;KNOW IT ORD NPV;0GNK.L
276;REZIDOR HOTEL GROUP AB NPV;0GNM.L
277;GUNNEBO AB NPV;0GNX.L
278;SWEDISH MATCH AB NPV;0GO4.L
279;POLYTEC HOLDING AG EUR1;0GOX.L
280;DATATRAK HLDGS EUR0.232937;0GOZ.L
281;KLOVERN AB NPV;0GP0.L
282;MEDIVIR SER`B`NPV;0GP7.L
283;CLAS OHLSON AB SER `B` NPV;0GQE.L
284;KUNGSLEDEN NPV;0GRG.L
285;MILLICOM INTERNATIONAL CELLULAR BDR EACH REP 1 USD1.50 MILLICOM INTL;0GRK.L
286;BIOTAGE AB NPV;0GRP.L
287;HEXAGON AB SER`B`NPV;0GRX.L
288;RAYSEARCH LABORATORIES AB SER`B`NPV;0GRZ.L
289;CASTELLUM AB SEK0.50;0GT1.L
290;PROACT IT GROUP NPV;0GT3.L
291;METABOLIC EXPLORER EUR10;0GT7.L
292;CRCAM BRIE PICARDIE (2EME DU NOM) EUR5;0GTI.L
293;DIOS FASTIGHETER AB NPV;0GTM.L
294;BIOGAIA AG SER`B`NPV;0GTN.L
295;KAPSCH TRAFFICCOM AG NPV;0GTO.L
296;HUSQVARNA SER`B`NPV;0GTR.L
297;CTT SYSTEMS NPV;0GUO.L
298;AARHUSKARLSHAMN AB NPV;0GUV.L
299;SKANDINAVISKA ENSKILDA BANKEN SER`C`NPV;0GUX.L
300;CATENA AB NPV;0GVS.L
301;NOBIA AB NPV;0GW0.L
302;HUFVUDSTADEN AB SER`A`NPV;0GW3.L
303;GRIEG SEAFOOD NOK1;0GW8.L
304;LUNDBERGFORETAGEN AB SER`B`NPV;0GWB.L
305;AXIS AB ORD NPV;0GWC.L
306;WIHLBORG FASTIGHETER AB(PUBL) NPV;0GWG.L
307;SAAB AB SER`B`NPV;0GWL.L
308;BILLERUD AB NPV;0GWS.L
309;BEIJER ALMA AB SER`B`NPV;0GX4.L
310;NEDERMAN HOLDING AB NPV;0GXG.L
311;MODERN TIMES GROUP(MTG) SER`B`NPV;0GXJ.L
312;AEFFE SPA EUR0.25;0GY8.L
313;ACKERMANS NPV(POST SPLIT);0GYM.L
314;VARTA AG NPV;0GYQ.L
315;PROBI AB NPV;0GZB.L
316;IBA(ION BEAM APPLICATIONS) NPV(POST SPLIT);0GZK.L
317;GETINGE AB SER`B`NPV;0GZV.L
318;DIASORIN S.P.A. EUR1;0GZX.L
319;BANCO DE SABADELL SA EUR0.125;0H00.L
320;SWECO AB SER`B`NPV;0H0G.L
321;ROTTNEROS AB ORD NPV;0H0L.L
322;INDUSTRIVARDEN AB SER`A`NPV;0H13.L
323;OREXO AB NPV;0H19.L
324;BIOINVENT AB NPV;0H22.L
325;BERGS TIMBER AB SER`B`NPV;0H2W.L
326;FASTIGHETS BALDER AB NPV;0H2Z.L
327;INDUTRADE AB NPV;0H30.L
328;SKISTAR AB SER`B`NPV;0H34.L
329;PRICER AB SER`B`NPV;0H38.L
330;DEUTSCHE POST AG NPV(REGD);0H3Q.L
331;DEUTSCHE BOERSE AG NPV;0H3T.L
332;LINDE AG NPV;0H3X.L
333;DEUTSCHE LUFTHANSA AG NPV;0H4A.L
