;Company;Symbol;ISIN;WKN
220;MS INDUSTRIE AG;MSAG;DE0005855183;585518
221;INVISION AG;IVX;DE0005859698;585969
222;INTICA SYSTEMS AG;IS7;DE0005874846;587484
223;DMG MORI AG O.N.;GIL;DE0005878003;587800
224;GRAMMER AG O.N.;GMM;DE0005895403;589540
225;BILFINGER SE O.N.;GBF;DE0005909006;590900
226;YOC AG O.N.;YOC;DE0005932735;593273
227;ISHARES MDAX UCITS ETF;EXS3;DE0005933923;593392
228;ISH.STOXX EUROPE 50 U.ETF;EXW3;DE0005933949;593394
229;ISHARES SLI UCITS ETF DE;EXI1;DE0005933964;593396
230;ISHARES TECDAX UCITS ETF;EXS2;DE0005933972;593397
231;ISH.S.EUR.LARGE 200 U.ETF;EXSC;DE0005933980;593398
232;ISH.S.EUROP.MID 200 U.ETF;EXSD;DE0005933998;593399
233;OHB SE   O.N.;OHB;DE0005936124;593612
234;MAN SE ST O.N.;MAN;DE0005937007;593700
235;MAN SE VZO O.N.;MAN3;DE0005937031;593703
236;RINGMETALL AG O.N.;HP3;DE0006001902;600190
237;HAMBORNER REIT AG O.N.;HAB;DE0006013006;601300
238;HAWESKO HOLDING AG    SVG;HAW;DE0006042708;604270
239;MATERNUS-KLI.AG O.N.;MAK;DE0006044001;604400
240;BIOFRONTERA AG NA O.N.;B8F;DE0006046113;604611
241;HEIDELBERGCEMENT AG O.N.;HEI;DE0006047004;604700
242;HENKEL AG+CO.KGAA ST O.N.;HEN;DE0006048408;604840
243;HENKEL AG+CO.KGAA VZO;HEN3;DE0006048432;604843
244;HMS BERGBAU AG;HMU;DE0006061104;606110
245;COVESTRO AG  O.N.;1COV;DE0006062144;606214
246;HOCHTIEF AG;HOT;DE0006070006;607000
247;HORNBACH HOLD.ST O.N.;HBH;DE0006083405;608340
248;HORNBACH BAUMARKT AG O.N.;HBM;DE0006084403;608440
249;ENCAVIS AG  INH. O.N.;CAP;DE0006095003;609500
250;HAEMATO AG O.N.;HAE;DE0006190705;619070
251;INDUS HOLDING AG;INH;DE0006200108;620010
252;FRIWO AG O.N.;CEA;DE0006201106;620110
253;SALZGITTER AG O.N.;SZG;DE0006202005;620200
254;KUKA AG;KU2;DE0006204407;620440
255;MVISE AG O.N.;C1V;DE0006204589;620458
256;MUELLER-DIE LILA LOGISTIK;MLL;DE0006214687;621468
257;JUNGHEINRICH AG O.N.VZO;May.99;DE0006219934;621993
258;PROCREDIT HLDG AG NA EO 5;PCZ;DE0006223407;622340
259;INTERTAINMENT O.N.;ITN;DE0006223605;622360
260;JENOPTIK AG O.N.;JEN;DE0006229107;622910
261;INFINEON TECH.AG NA O.N.;IFX;DE0006231004;623100
262;OVB HOLDING AG;O4B;DE0006286560;628656
263;ISHS ESTXX BNKS.30-15 UC.;EXX1;DE0006289309;628930
264;ISHS ESTXX TELEC.30-15UC.;EXX2;DE0006289317;628931
265;IS.DJ GLOB.TITAN.50 U.ETF;EXI2;DE0006289382;628938
266;IS.DJ INDUST.AVERAG.U.ETF;EXI3;DE0006289390;628939
267;ISH.EB.REXX GOV.GER.U.ETF;EXHA;DE0006289465;628946
268;I.EB.R.G.G.1.5-2.5Y U.ETF;EXHB;DE0006289473;628947
269;I.EB.R.GO.G.2.5-5.5 U.ETF;EXHC;DE0006289481;628948
270;I.EB.R.G.G.5.5-10.5 U.ETF;EXHD;DE0006289499;628949
271;KSB SE+CO.KGAA  ST O.N.;KSB;DE0006292006;629200
272;KSB SE+CO.KGAA VZO O.N.;KSB3;DE0006292030;629203
273;DEUTZ AG O.N.;DEZ;DE0006305006;630500
274;KRONES AG O.N.;KRN;DE0006335003;633500
275;LPKF LASER+ELECTRON.;LPK;DE0006450000;645000
276;NEMETSCHEK SE O.N.;NEM;DE0006452907;645290
277;LANG+SCHWARZ AG NA;LUS;DE0006459324;645932
278;LEIFHEIT AG O.N.;LEI;DE0006464506;646450
279;LINDE AG O.N.;LIN;DE0006483001;648300
280;ALBIS LEASING AG O.N.;ALG;DE0006569403;656940
281;MLP SE  INH. O.N.;MLP;DE0006569908;656990
282;NANOREPRO AG;NN6;DE0006577109;657710
283;KHD HUMBOLDT WEDAG O.N.;KWG;DE0006578008;657800
284;MENSCH UND MASCH.O.N.;MUM;DE0006580806;658080
285;MEDICLIN AG;MED;DE0006595101;659510
286;MERCK KGAA O.N.;MRK;DE0006599905;659990
287;GEA GROUP AG;G1A;DE0006602006;660200
288;MEDION AG O.N.;MDN;DE0006605009;660500
289;MEDICAL COLUMBUS O.N.;MCE;DE0006618309;661830
290;MUEHLBAUER HOLD.AG O.N.;MUB;DE0006627201;662720
291;MORPHOSYS AG O.N.;MOR;DE0006632003;663200
292;VA-Q-TEC AG NA O.N.;VQT;DE0006636681;663668
293;MOLOGEN AG;MGN;DE0006637200;663720
294;MWB FAIRTRADE WPHDLSBK AG;MWB;DE0006656101;665610
295;AUDI AG O.N.;NSU;DE0006757008;675700
296;AURUBIS AG;NDA;DE0006766504;676650
297;PFEIFFER VACUUM TECH.O.N.;PFV;DE0006916604;691660
298;PA POWER AUTOM.AG;PPA;DE0006924400;692440
299;SCHERZER U. CO. AG O.N.;PZS;DE0006942808;694280
300;NIIIO FINANCE GROUP AG;NIII;DE0006946106;694610
301;PRO DV AG O.N.;PDA;DE0006967805;696780
302;PROGRESS-WERK OBERK. O.N.;PWO;DE0006968001;696800
303;PUMA SE;PUM;DE0006969603;696960
304;PUBLITY AG NA O.N.;PBY;DE0006972508;697250
305;REALTECH AG O.N.;RTC;DE0007008906;700890
306;RATIONAL AG;RAA;DE0007010803;701080
307;RHEINMETALL AG;RHM;DE0007030009;703000
308;RWE AG ST O.N.;RWE;DE0007037129;703712
309;RWE AG VZO O.N.;RWE3;DE0007037145;703714
310;RHOEN-KLINIKUM O.N.;RHK;DE0007042301;704230
311;KWS SAAT SE O.N.;KWS;DE0007074007;707400
312;DAIMLER AG NA O.N.;DAI;DE0007100000;710000
