;Company;Symbol
627;Euro Tech Hldg;CLWT
628;Calyxt Inc;CLXT
629;Columbus Mckinnon;CMCO
630;Comcast Corp A;CMCSA
631;Cim Commercial TR Cp;CMCT
632;CME Group Inc;CME
633;Cm Finance;CMFN
634;Cimpress N.V. Ord;CMPR
635;Chimerix Inc;CMRX
636;Cm Seven Star Acquisition Corporation Ordinary S;CMSS
637;Cm Seven Star Acquisition Corporation Right;CMSSR
638;Cm Seven Star Acquisition Corp;CMSSU
639;Cm Seven Star Acquisition Corporation Warrant;CMSSW
640;Clementia Pharmaceuticals Inc;CMTA
641;Comtech Telecom Co;CMTL
642;Constellation Alpha Capital Corp Ordinary Share;CNAC
643;Constellation Alpha Capital Corp Right;CNACR
644;Constellation Alpha Capital Corp Unit;CNACU
645;Constellation Alpha Capital Corp Warrant;CNACW
646;Conatus Pharmaceutic;CNAT
647;Century Bancorp Inc;CNBKA
648;Concert Pharmaceutic;CNCE
649;Loncar Cancer Immunotherapy ETF;CNCR
650;Chinanet Online Hldg;CNET
651;Conifer Holdings;CNFR
652;China Info Tech;CNIT
653;C O N M E D Cp;CNMD
654;Connectone Bancorp;CNOB
655;Consolidated Communications Holdings Inc;CNSL
656;China Techfaith Wire;CNTF
657;Century Casinos In;CNTY
658;PC Connection Inc;CNXN
659;Cobiz Financial Inc;COBZ
660;Cocrystal Pharma Inc;COCP
661;Coda Octopus Group;CODA
662;Co-Diagnostics Inc;CODX
663;Cogint Inc;COGT
664;Coherent Inc;COHR
665;Cohu Inc;COHU
666;Coca Cola Bot Cons;COKE
667;Columbia Banking Sys;COLB
668;Collegium Pharma;COLL
669;Columbia Sprtswr;COLM
670;Commscope Holding Co;COMM
671;Ishares Commodities Select Strategy ETF;COMT
672;Cyrusone Inc;CONE
673;Conn's Inc;CONN
674;Polarityte Inc;COOL
675;Core Mark Holding;CORE
676;Corium Intl;CORI
677;Corcept Therapeutics;CORT
678;Costco Wholesale;COST
679;Coupa Software Inc;COUP
680;Cowen Group Inc;COWN
681;Cowen Inc 7.35% Senior Notes Due 2027;COWNZ
682;Counterpath Corp;CPAH
683;Canterbury Park Hl;CPHC
684;Cumberland Pharmaceu;CPIX
685;Capella Education Co;CPLA
686;Capital Product Part;CPLP
687;Copart Inc;CPRT
688;Catalyst Pharm Inc;CPRX
689;Cps Technologies;CPSH
690;Computer Programs;CPSI
691;Consumer Portfol;CPSS
692;Capstone Turbine Cp;CPST
693;Capitala Finance Crp;CPTA
694;Capitala Finance Corp 5.75% Convertible Notes D;CPTAG
695;Capitala Finance Corp 6% Notes Due 2022;CPTAL
696;Cra International;CRAI
697;Cray Inc;CRAY
698;Corbus Pharma;CRBP
699;Core US Credit Bond ETF Ishares;CRED
700;Cree Inc;CREE
701;China Recycling Ener;CREG
702;Cresud Sacif ADR;CRESY
703;Curis Inc;CRIS
704;Cardiome Pharma Corp;CRME
705;America's Car-Mart;CRMT
706;Ceragon Networks Ltd;CRNT
707;Cronos Group Inc;CRON
708;Crocs Inc;CROX
709;Crispr Therapeutics Ag;CRSP
710;Criteo S.A. Ads;CRTO
711;Cirrus Logic Inc;CRUS
712;Calvert Management Series Calvert Ultra-Short In;CRUSC
713;Corvel Cp;CRVL
714;Corvus Pharma Com;CRVS
715;Crown Crafts Inc;CRWS
716;Carrizo Oil & Gas;CRZO
717;Victory US Smallcap Vol Wtd ETF;CSA
718;Victory US Smallcap Hi Div Vol Wtd ETF;CSB
719;Clifton Bancorp Inc;CSBK
720;Champions Oncolog;CSBR
721;Cisco Systems Inc;CSCO
722;Victory US Disc Enhd Vol Wtd ETF;CSF
723;Centerstate Bank Corp;CSFL
724;Costar Group Inc;CSGP
725;C S G Sys Intl;CSGS
726;Cardiovascular Syst;CSII
727;Canadian Solar Inc;CSIQ
728;1-3 Year Credit Bond Ishares;CSJ
729;IQ Chaikin U.S. Small Cap ETF;CSML
730;Cornerstone Ondemand;CSOD
731;C S P Inc;CSPI
732;Calamos Strgc Ttl Rt;CSQ
733;Chicken Soup For The Soul Entertainment Inc;CSSE
734;Caesarstone Sdot-Yam;CSTE
735;Capstar Financial Holdings Inc;CSTR
736;Capital Southwest;CSWC
737;Capital Southwest Corporation 5.95% Notes Due 20;CSWCL
738;Csw Industrials Inc;CSWI
739;CSX Corp;CSX
740;Cintas Corp;CTAS
741;Community TR Bancp;CTBI
742;Computer Task Gp Inc;CTG
743;Charles & Colvard;CTHR
744;Cti Inds Corp;CTIB
745;Cti Biopharm Corp;CTIC
746;Cytomx Thera;CTMX
747;Caretrust REIT Inc;CTRE
748;Control4 Corp;CTRL
749;Citi Trends Inc;CTRN
750;Ctrip.Com Intl Ltd;CTRP
751;Contravir Pharmaceut;CTRV
752;Cognizant Tech Sol;CTSH
753;Cytosorbents Cor;CTSO
